,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
347,"Greeley, CO Metro Area",270948,24540,236281,37789,7970,13448,28642,15017,30277,1784,10638,1576,127211,125007,79153,2204,45854,34007,5363,3650,3878,4507,4282,4581,4015,4379,4233,7789,10521,14318,9205,5087,4965,3521,60572,62265,37281,43558
348,"Green Bay, WI Metro Area",312676,24580,276195,63210,7585,14255,27217,24264,38202,2467,11488,1249,157674,156760,129410,914,27350,34235,6474,6259,6438,6463,6679,7007,5974,6572,5924,11188,13480,17712,10538,5098,4423,4035,53622,55462,24326,40132
349,"Greeneville, TN Micro Area",68576,24620,65353,16257,4592,3054,5718,2712,4808,385,1920,224,27007,26506,21775,501,4731,13647,2758,2036,2476,2517,1765,2385,1843,1585,1221,2173,2421,2617,1022,463,393,386,35196,35485,30662,21065
350,"Greenfield Town, MA Micro Area",71144,24640,66793,12323,1841,3369,6675,5549,9817,807,6732,1056,36486,34543,22065,1943,12478,8210,1425,1827,1910,1562,1246,1478,1631,1227,1376,2564,3462,4301,2478,1614,1193,908,55221,55818,36250,32333
351,"Greensboro-High Point, NC Metro Area",741433,24660,481845,118721,21202,28858,78497,40065,91519,6557,33243,5754,330816,325898,254183,4918,71715,128546,23198,19014,18941,18615,18456,18377,16271,16163,12393,23449,28089,31699,18563,10400,9604,8398,43836,50705,33311,32191
352,"Greensburg, IN Micro Area",26240,24700,25251,6908,1083,1136,2201,1429,1890,165,768,42,12432,12168,8753,264,3415,3647,557,450,534,684,495,595,626,736,378,1144,1124,1356,639,376,240,140,49799,49314,37059,
353,"Greenville, MS Micro Area",49499,24740,13446,7209,2256,1090,5554,2080,3846,346,1391,330,16733,16316,14891,417,1425,17586,3241,1820,1890,1302,974,1055,1028,798,647,1320,1422,973,649,337,341,396,29144,47690,22243,
354,"Greenville, NC Metro Area",173798,24780,101984,21834,4019,6352,16238,11402,19593,1768,7356,1676,79529,78805,66702,724,12103,42743,8173,4687,4495,4848,3873,3785,3060,3394,3007,5343,5842,6525,4481,2215,1991,1783,41119,50251,27672,29151
355,"Greenville, OH Micro Area",52356,24820,51124,15914,1842,2468,3963,2807,2722,132,1492,38,23135,21930,14279,1205,7651,6846,1322,1122,1344,1671,1444,1287,1182,1134,1069,2235,2186,2214,1354,678,326,297,44632,44957,,34301
356,"Greenville-Anderson-Mauldin, SC Metro Area",852631,24860,668403,136123,27978,36097,79050,51302,96169,8484,39315,6465,372866,367264,278077,5602,89187,139024,25639,20598,21853,21276,19163,18385,15169,16867,14202,25916,31672,37094,21354,13126,11957,9420,45936,49950,30386,32854
357,"Greenwood, MS Micro Area",41854,24900,14706,7596,1659,1655,3832,1385,2782,258,1128,218,12972,12789,8978,183,3811,14644,3100,1423,1180,1127,856,815,795,638,241,1009,1059,931,429,482,275,158,26836,41750,18138,30568
358,"Greenwood, SC Micro Area",94768,24940,62076,16393,3743,3601,8105,6070,8690,627,2893,523,36756,36269,25812,487,10457,21346,3710,3268,2851,2930,2427,2006,2425,1515,1563,2747,3178,3445,2167,884,460,706,36623,44706,22505,30536
359,"Grenada, MS Micro Area",21591,24980,11991,3172,1149,864,2470,1131,1419,77,697,35,7959,7838,6311,121,1527,4733,942,902,672,530,413,580,312,331,180,586,571,614,315,267,101,113,31779,40365,21846,
360,"Guayama, PR Metro Area",81159,25020,51846,16993,1302,1014,6090,4188,7347,149,1592,191,17171,17135,9522,36,7613,43003,9885,3964,3368,2023,1807,1509,1243,862,595,881,1079,279,192,94,85,30,15114,14892,14706,15133
361,"Gulfport-Biloxi-Pascagoula, MS Metro Area",382571,25060,277603,58824,16669,18216,47012,24470,32523,3300,15053,1867,163260,154188,124563,9072,29625,70776,13768,8789,9267,8760,8294,8966,8077,7468,6848,12849,14365,16657,9350,4116,4132,3009,44193,49538,27822,42347
362,"Guymon, OK Micro Area",21588,25100,13970,2948,752,668,1749,480,1947,175,279,86,11003,9163,8998,1840,165,2733,364,432,447,483,366,461,524,297,197,811,888,856,394,329,240,84,50242,51486,,43152
363,"Hagerstown-Martinsburg, MD-WV Metro Area",257994,25180,220416,57167,10340,14354,23383,13266,21990,1490,10452,1090,114953,88410,69593,26543,18817,33329,5466,4496,5142,5320,4358,4820,3857,4962,4906,8611,11375,13507,8455,4714,4355,2714,55798,56915,41333,52755
364,"Hailey, ID Micro Area",27621,25200,24780,3828,279,1132,3138,1344,4951,214,1464,296,14312,14150,12510,162,1640,3156,483,430,424,912,599,642,578,572,474,790,1261,1687,772,322,441,596,53013,53871,,41191
365,"Hammond, LA Metro Area",125486,25220,84190,23845,4534,4251,12906,4255,10660,672,3581,462,52637,51344,33454,1293,17890,26962,5081,3083,3801,2787,2380,2633,2451,1728,1978,3066,4265,5191,3112,1289,1817,821,41302,51528,25771,35920
366,"Hanford-Corcoran, CA Metro Area",150998,25260,103289,18620,4235,6582,17519,7218,8941,1036,2157,204,53665,53470,41634,195,11836,29900,2898,2592,2300,2765,2210,2561,2459,2230,2065,3199,3818,5239,2660,1853,1600,1105,46481,48190,40991,37384
367,"Hannibal, MO Micro Area",39083,25300,36176,9290,1670,2023,3353,1677,3067,237,1195,132,17443,15892,11499,1551,4393,6274,1319,847,984,804,1011,1020,1017,972,825,1389,1636,1738,797,384,277,214,42464,43735,32300,
368,"Harrisburg-Carlisle, PA Metro Area",558198,25420,456265,122751,15520,22488,41786,31829,70161,8334,30112,4386,272382,269283,185976,3099,83307,60470,11865,8926,10228,10370,10955,11664,10502,11017,10444,19957,25678,31122,20137,11089,10591,9113,57365,60881,36438,35644
369,"Harrison, AR Micro Area",45279,25460,43618,9838,1967,2637,5735,2215,2993,185,1318,183,18115,16886,14161,1229,2725,8102,1599,1485,1347,1358,1320,1254,1134,1302,792,1652,1646,1525,749,518,221,369,38395,38860,,50114
370,"Harrisonburg, VA Metro Area",129173,25500,116871,21426,3823,4307,8316,4327,12614,1133,5958,1591,60580,59982,34645,598,25337,22797,3680,2534,2487,2225,2580,2918,2476,2339,2500,4043,5348,5426,3241,1683,1422,1132,48305,49064,40546,36482
371,"Hartford-West Hartford-East Hartford, CT Metro Area",1214056,25540,933924,195972,29760,46635,100673,67845,173550,23535,99282,12635,593332,575454,437020,17878,138434,124417,27281,17727,19546,19778,18386,17627,16602,17391,15977,32352,45198,62711,48480,33084,37258,37548,69869,75815,44076,35674
372,"Hastings, NE Micro Area",31442,25580,29847,5787,708,1851,3049,2356,3037,268,1202,164,15430,15369,12794,61,2575,3499,754,490,866,933,698,708,646,695,468,1000,1367,1957,915,458,268,447,50635,50924,35096,52250
373,"Hattiesburg, MS Metro Area",147339,25620,99717,20824,4671,4840,15614,7905,16478,1660,6886,1582,63645,61309,35527,2336,25782,32214,6255,3890,3872,3558,2742,2730,2895,2351,2176,4532,5589,5855,3280,1646,1461,1408,42062,51397,25429,24607
374,"Hays, KS Micro Area",28993,25700,27338,4123,735,1404,3086,1355,3832,330,1186,322,15877,15863,14803,14,1060,4353,942,735,734,868,703,750,511,608,536,886,1322,1398,752,451,336,315,45579,47280,,25263
375,"Heber, UT Micro Area",26661,25720,25698,2835,415,1142,3131,1612,3539,419,1180,139,12231,11828,6251,403,5577,2633,416,298,253,215,320,259,286,384,416,745,843,1303,912,488,601,356,66486,67269,,45330
376,"Helena, MT Micro Area",76859,25740,72131,10960,2198,4035,9104,4544,12933,1374,4987,670,38042,37599,33081,443,4518,8871,1593,1261,1432,1405,1558,1700,1725,1581,1352,2531,4174,4538,2836,1558,1143,839,56935,58468,52153,35824
377,"Helena-West Helena, AR Micro Area",20391,25760,7492,3257,832,1030,2097,1128,929,54,340,71,6821,5954,5385,867,569,6882,1183,961,918,664,670,483,416,282,232,751,390,462,294,150,139,140,26844,43491,20277,
378,"Henderson, NC Micro Area",44829,25780,19558,9525,1617,1746,3972,2519,2433,190,665,96,16803,16532,10980,271,5552,11064,1771,1810,1640,1123,1340,958,875,751,741,1201,1556,1550,566,279,192,236,33316,44415,26095,35920
379,"Hereford, TX Micro Area",19245,25820,16911,2855,597,746,1611,606,1212,76,344,29,8292,8267,7077,25,1190,3955,413,464,460,315,383,393,398,394,318,600,391,716,547,141,147,114,43373,45901,24844,37617
380,"Hermiston-Pendleton, OR Micro Area",87942,25840,74847,12483,4396,5267,9972,5668,5550,528,2352,390,36146,32247,29442,3899,2805,14577,1945,1980,1983,1730,1742,1821,1608,1364,1502,3212,3355,3908,2172,1157,592,495,48614,50052,24665,43084
381,"Hickory-Lenoir-Morganton, NC Metro Area",363074,25860,307562,63740,15530,19855,33788,24362,30123,2665,11102,1205,153323,151804,105628,1519,46176,62862,11678,11198,9085,9739,9218,9173,8180,6862,6897,11492,13906,14817,6821,3175,3277,2450,40474,42309,27149,26923
382,"Hillsdale, MI Micro Area",46178,25880,44860,11041,1496,2660,4558,2452,2991,319,1349,188,18883,17411,12409,1472,5002,8982,1565,1048,1043,1503,927,1348,1060,936,960,1515,1996,1930,854,493,394,238,41961,42168,,44000
383,"Hilo, HI Micro Area",191482,25900,63927,39555,2913,7161,23409,12827,23082,2220,8406,1925,80379,79932,78955,447,977,36756,6447,3452,4061,3559,3061,3030,2553,2334,2762,5461,6708,8325,5811,2777,2791,1916,52108,52303,50221,41302
384,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",197969,25940,139244,30614,3907,8422,21344,10877,29570,3661,13909,2082,85975,81752,72726,4223,9026,27327,4672,3499,3345,3654,4355,3913,4043,4162,3361,6161,8422,9112,5702,3254,3268,4147,53631,62883,30648,41335
385,"Hinesville, GA Metro Area",81015,25980,41717,12226,2751,3818,9707,4074,5628,271,2029,299,34657,34233,23961,424,10272,13983,2502,1526,1299,1784,1653,2032,1901,1764,1538,3137,2709,3223,1440,651,555,246,43332,45741,40259,42843
386,"Hobbs, NM Micro Area",68149,26020,59507,10152,2309,3072,5538,2915,3308,157,1669,281,28979,27784,27158,1195,626,9859,1487,1139,780,1269,903,1019,906,1119,770,1673,2188,3335,2041,1073,946,801,57533,59273,40060,51966
387,"Holland, MI Micro Area",112837,26090,106592,25568,3401,6099,10316,6297,10992,649,4085,534,50348,49937,22778,411,27159,14185,2311,2030,1967,2315,1938,2055,2339,2112,2053,4101,5277,5808,3767,1608,1306,906,54264,54439,42047,41733
388,"Homosassa Springs, FL Metro Area",139654,26140,130285,34474,7564,9794,16061,8868,12182,1480,4420,578,42386,41407,31961,979,9446,23903,4952,4608,4364,5236,4688,4218,3463,3371,3002,5412,5608,5678,3011,1316,930,1155,38312,38237,35171,33650
389,"Hood River, OR Micro Area",22749,26220,19978,3182,726,876,1812,946,3210,397,1025,210,11066,10490,9288,576,1202,3223,366,248,525,484,369,443,244,438,333,928,921,1337,542,334,339,338,55827,57009,,53247
390,26260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
391,"Hot Springs, AR Metro Area",96954,26300,82660,18295,4006,5713,12974,5247,9120,997,4058,627,38823,38162,33527,661,4635,19802,3910,3458,2864,3178,2244,2652,2347,1727,1981,3354,3355,3746,2420,1205,779,1070,38733,40935,21917,29423
392,"Houghton, MI Micro Area",38858,26340,36482,7138,694,1423,3121,1932,4368,331,1620,748,15873,15647,14087,226,1560,7742,1575,1041,1273,970,1049,1049,776,787,626,1243,1276,1492,849,287,279,233,37779,38948,,36042
393,"Houma-Thibodaux, LA Metro Area",210216,26380,157840,45481,8913,6668,16744,6507,13745,1156,4271,762,89776,88649,65772,1127,22877,35744,5900,4604,4553,4663,4269,3892,3428,3680,3181,6155,6946,9316,6045,3777,2987,2282,49442,54765,28388,45328
394,"Houston-The Woodlands-Sugar Land, TX Metro Area",6346653,26420,4167710,787117,148076,220148,643086,254464,796110,77321,301646,55782,2950577,2927698,2320973,22879,606725,993195,133363,95625,103532,109003,102176,105641,95502,94927,84597,164345,207879,257132,189622,121409,138894,164995,59649,65753,41871,44867
395,"Hudson, NY Micro Area",62195,26460,55911,11803,2213,2814,5113,5032,6584,1095,5183,488,29219,27467,17667,1752,9800,7067,1388,1074,1221,1109,1396,1296,1202,1052,948,2060,2795,3439,2412,1370,1231,1242,59105,61370,31579,36652
396,"Huntingdon, PA Micro Area",45906,26500,42302,14277,2612,2036,3044,2388,2983,201,1200,275,18195,17948,11493,247,6455,5578,1328,1029,1243,982,1096,1073,913,1072,898,1580,1913,2050,1134,476,303,135,44396,44471,,37188
397,"Huntington, IN Micro Area",36863,26540,35741,9100,1670,1779,3164,2093,2769,137,1387,176,17537,17322,11199,215,6123,4241,698,768,952,933,920,1020,769,917,685,1478,1604,1850,1123,329,284,150,46945,46941,,32083
398,"Huntington-Ashland, WV-KY-OH Metro Area",363700,26580,345418,80280,14487,16592,36019,20398,28871,3742,14729,1998,141552,117132,78017,24420,39115,66932,15366,10956,9520,9117,8432,8005,6354,7305,6306,11618,13902,15987,8838,4478,3800,3512,42766,43366,23191,44115
399,"Huntsville, AL Metro Area",435243,26620,310779,54989,14316,16155,47276,23537,66993,4136,30707,4178,199207,196036,169327,3171,26709,58511,11567,9308,8315,8402,8905,8246,7921,7474,6775,12435,15794,20049,16055,9809,10856,8069,55947,63558,36182,40346
400,"Huntsville, TX Micro Area",83735,26660,63399,13116,7245,3090,9372,2885,6707,296,2075,489,27130,26898,19420,232,7478,15023,3743,1985,1523,1620,1683,1942,1354,1164,875,1922,2406,2579,1584,616,590,424,36738,41001,25082,28657
401,"Huron, SD Micro Area",18168,26700,15969,3620,434,805,1608,1341,1898,27,438,36,9101,9053,8162,48,891,3708,406,571,515,498,522,466,351,308,397,667,843,1014,433,277,158,139,46267,46903,,26238
402,"Hutchinson, KS Micro Area",64058,26740,58547,10040,2334,4840,7787,4423,5978,317,2270,185,29074,28814,25201,260,3613,7457,1514,1639,1428,1494,1384,1702,1624,1691,1209,2209,3150,3102,1414,568,481,488,45288,45391,51612,39123
403,"Hutchinson, MN Micro Area",36046,26780,34569,8643,718,1700,3777,3367,3184,167,954,129,18687,18539,12445,148,6094,2866,674,574,732,757,913,620,745,711,819,1325,2031,2137,1341,629,543,268,56128,56525,,47143
404,"Idaho Falls, ID Metro Area",137233,26820,124727,19197,4048,6847,13871,9227,14981,862,4283,933,58298,57037,45994,1261,11043,17977,2262,2593,2028,2912,2588,2868,2647,2462,2195,4378,4878,5688,3361,2076,1425,1436,50621,51474,,36574
405,"Indiana, PA Micro Area",87895,26860,83054,22459,2272,2650,5256,4477,7597,544,3428,1153,37512,37134,28629,378,8505,14176,3239,2333,1980,2188,2120,1866,1636,1597,1710,3127,3251,3992,2217,1096,962,747,45195,45305,40556,36250
406,"Indianapolis-Carmel-Anderson, IN Metro Area",1950674,26900,1515706,316106,57382,80201,184043,99295,262273,25936,99002,15744,921428,912295,581292,9133,331003,274736,50702,36002,39000,38878,38672,39875,37065,36781,33270,61203,76010,92643,60728,36626,33180,31182,52842,58643,31974,33849
407,"Indianola, MS Micro Area",27911,26940,7197,3442,1658,805,3217,1181,1711,106,703,73,8203,8093,5591,110,2502,8458,1394,861,844,745,630,490,477,400,245,584,581,624,298,95,90,150,27384,48000,23418,
408,"Ionia, MI Micro Area",64064,26960,58351,13145,3229,4341,6879,3922,4575,194,1551,102,26151,26063,12133,88,13930,9084,1395,1329,1264,1292,1163,1354,1138,1217,1072,2064,2763,3132,1455,803,386,265,49124,49259,83275,39000
409,"Iowa City, IA Metro Area",161453,26980,138443,16962,2408,4717,12837,9029,24450,4672,11526,4415,88323,87619,73167,704,14452,25550,5666,3226,2801,3324,2941,2861,2719,3144,2554,4655,5859,9092,6195,2886,3126,3315,55842,59445,27903,46125
410,"Iron Mountain, MI-WI Micro Area",30488,27020,29535,8104,771,1553,3385,2093,3250,288,1130,141,12891,11002,10240,1889,762,3932,1076,736,930,682,935,847,635,661,731,1348,1319,1286,804,412,326,235,44742,44956,,62115
411,"Ithaca, NY Metro Area",103855,27060,84393,9847,1909,2523,5639,5834,13169,1757,9938,5288,47735,47274,43590,461,3684,18547,4142,2162,1831,1792,1818,1906,1569,1840,1451,2641,4030,4233,2983,1781,2127,2154,52624,57433,26136,31069
412,"Jackson, MI Metro Area",159759,27100,139863,31223,6844,10457,17864,9963,14925,1069,5268,607,64234,63547,47593,687,15954,25464,4961,3142,4393,3859,3434,3435,3341,3092,2475,4912,7181,7150,4141,1987,1788,1300,46326,48717,20446,44665
413,"Jackson, MS Metro Area",577070,27140,278399,77549,17528,19130,68912,31180,66062,8963,28518,5428,247414,244298,145598,3116,98700,111483,21130,12778,12356,12300,11322,12047,10322,10730,8353,15936,19341,22857,15365,8245,7267,7381,45493,61748,32178,37780
414,"Jackson, OH Micro Area",32854,27160,31859,8336,944,1125,2293,1844,2415,61,1316,24,12725,12490,8777,235,3713,7637,1485,1139,855,902,710,718,750,843,566,1021,1231,1504,526,410,179,142,39460,40088,,
415,"Jackson, TN Metro Area",130108,27180,85523,24576,4764,4866,13690,5713,12771,1090,4199,1253,54985,54258,43244,727,11014,24875,4648,3799,3188,2821,3264,3013,2637,2403,1912,3985,4518,5485,2907,1301,1225,1187,41365,49875,29520,23846
416,"Jackson, WY-ID Micro Area",32596,27220,30283,3822,523,794,3909,1362,8374,449,2592,301,19099,16805,16258,2294,547,2748,242,326,393,639,439,535,528,526,453,902,1543,1715,1183,799,527,1042,68318,69228,250001,41599
417,"Jacksonville, FL Metro Area",1401600,27260,988696,226856,42909,71661,146588,90744,183759,15733,62577,8712,633381,623718,491422,9663,132296,205123,39799,25811,25222,27402,27967,28121,26747,27414,22224,42766,55468,63204,41349,23628,23019,22565,51998,57645,34307,45172
418,"Jacksonville, IL Micro Area",40327,27300,37157,10311,1468,2250,3518,1770,3691,312,1594,203,18129,18012,12617,117,5395,5292,1119,871,1038,1024,906,1102,805,930,705,1188,1533,2168,1056,693,456,355,46087,47673,30265,35714
419,"Jacksonville, NC Metro Area",183753,27340,136587,23739,4501,10794,21016,9805,13209,1035,4213,427,89096,87346,80641,1750,6705,24916,4423,2602,3827,3554,3306,4818,3693,4013,3409,6835,7606,6214,4096,1414,1666,709,46335,48660,36334,40579
420,"Jacksonville, TX Micro Area",51167,27380,41138,8742,2323,2231,5085,2159,4030,179,1048,147,19466,19206,12975,260,6231,10688,1621,1368,1546,1460,905,1057,985,1201,774,1205,1670,1491,938,547,669,292,39595,42449,19321,34673
421,"Jamestown, ND Micro Area",21076,27420,19909,4254,901,945,2053,1348,2808,131,455,39,10911,10883,10319,28,564,2130,653,524,324,538,438,418,515,451,411,886,1032,1259,662,445,229,276,52359,52685,,65688
422,"Jamestown-Dunkirk-Fredonia, NY Micro Area",132646,27460,123422,27189,4870,6342,10972,11432,10230,1072,6907,633,56234,53491,49679,2743,3812,23894,4678,3715,3871,3590,3184,3073,2704,3130,2675,4585,5528,6268,3176,1372,1259,738,42993,43717,20513,23974
423,"Janesville-Beloit, WI Metro Area",160727,27500,144840,33955,5749,7930,15286,11046,14523,1018,5750,714,74177,68131,51568,6046,16563,23498,3960,3423,3393,3614,3614,3991,3578,3274,2867,5567,7368,8405,5560,2091,1792,1348,50324,51736,22852,34851
424,"Jasper, IN Micro Area",54978,27540,52928,14545,1589,2039,4096,4165,4343,209,1672,149,27432,27133,21053,299,6080,5314,811,1141,1208,1205,1310,1291,1114,1119,952,1867,2378,3426,1767,632,589,374,51822,52734,,27166
425,"Jayuya, PR Micro Area",15890,27580,14032,3302,399,13,1191,668,1200,0,329,58,3223,3223,2811,0,412,9083,1584,689,527,439,373,427,155,146,82,75,260,60,0,0,0,0,16033,16213,9830,16067
426,"Jefferson, GA Micro Area",61420,27600,54313,11045,2876,2836,5821,3209,5314,608,1688,194,26381,26041,10037,340,16004,8314,1324,1269,1029,1137,943,903,873,1224,976,2075,2213,2878,1936,782,992,494,53379,54911,31625,47549
427,"Jefferson City, MO Metro Area",150658,27620,132781,30112,6352,6467,13589,7488,17731,1233,6203,858,68370,67920,46746,450,21174,18126,3501,2914,2838,3052,2869,3542,2686,3266,2709,5361,6853,7522,4277,2175,1772,937,51081,52306,26639,41875
428,27660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
429,"Jesup, GA Micro Area",30046,27700,22342,6273,2203,1314,2802,1291,1570,228,742,101,10287,10197,7935,90,2262,5633,1123,797,654,790,624,562,585,449,334,920,888,1231,549,296,129,135,38955,44301,22129,26875
430,"Johnson City, TN Metro Area",200327,27740,188053,38644,8975,7667,20675,8372,20699,2243,8926,2475,85396,82739,54319,2657,28420,38837,8648,6945,6386,5641,5523,5206,4344,4662,3882,7363,7582,7418,4709,1945,1828,1878,38991,39350,28306,35093
431,"Johnstown, PA Metro Area",139381,27780,130808,41493,4474,5893,9000,9189,11963,1431,4861,672,56776,56107,42765,669,13342,20011,4838,4448,4173,3665,3683,3655,2971,2981,2640,4482,5991,6597,3439,1663,1252,987,42107,43150,14837,32171
432,"Jonesboro, AR Metro Area",125619,27860,104109,22598,5434,5423,12795,4817,11307,1025,4346,1015,53583,52460,44180,1123,8280,25131,4576,3656,3320,3615,2978,2868,2503,2596,2334,3942,4439,5029,2265,1603,1267,1019,40827,43438,22147,26934
433,"Joplin, MO Metro Area",175961,27900,160331,33343,6469,9251,17713,8061,16015,1191,6045,756,80350,75676,57018,4674,18658,27933,5175,4717,3898,5246,4313,4338,4105,3952,3203,6056,6609,7319,3961,1848,1508,1367,42255,42639,28265,31385
434,"Junction City, KS Micro Area",36787,27920,25787,4767,1097,2154,4086,2087,2708,94,1060,152,17396,17236,14260,160,2976,4463,847,392,626,520,871,1015,1112,1229,950,1011,1223,1365,797,304,275,186,43992,43804,46568,32679
435,"Juneau, AK Micro Area",32531,27940,22445,3719,983,1750,4466,1615,5455,597,2259,268,17434,17423,17273,11,150,2110,390,294,182,311,311,369,281,392,268,867,1415,2198,1599,1292,1024,921,85746,90553,106964,76083
